C,0.148,0.151,0.087,0.083,0.083,0.08,0.084,0.082,0.086,0.085,0.096,0.092,977 [Test]
,0.09,0.092,0.089,0.082,0.089,0.083,0.087,0.085,0.083,0.085,0.098,0.094,900 [Ref]
,0.322,0.329,-0.009,0.004,-0.032,-0.013,-0.014,-0.016,0.016,0.003,-0.011,-0.012,Pathlength
,0.698,0.881,0.097,0.091,0.096,0.09,0.096,0.094,0.093,0.092,0.105,0.1,562
,2.167,2.678,-10.249,20.43,-2.979,-6.728,-6.905,-5.81,6.004,27.66,-9.938,-8.206,Corrected [562]
D,0.151,0.149,0.153,0.149,0.149,0.15,0.143,0.147,0.151,0.149,0.149,0.149,977 [Test]
,0.093,0.09,0.094,0.091,0.091,0.091,0.087,0.09,0.092,0.09,0.09,0.09,900 [Ref]
,0.323,0.324,0.326,0.324,0.318,0.326,0.314,0.317,0.328,0.327,0.327,0.333,Pathlength
,0.624,0.473,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,562
,1.934,1.461,?????,?????,?????,?????,?????,?????,?????,?????,?????,?????,Corrected [562]
E,0.153,0.157,0.184,0.152,0.151,0.153,0.146,0.1,0.099,0.09,0.085,0.086,977 [Test]
,0.091,0.097,0.125,0.092,0.092,0.091,0.088,0.104,0.1,0.091,0.086,0.087,900 [Ref]
,0.345,0.336,0.326,0.336,0.332,0.346,0.32,-0.023,-0.008,-0.006,-0.004,-0.001,Pathlength
,0.342,0.255,OVRFLW,OVRFLW,OVRFLW,OVRFLW,OVRFLW,0.115,0.107,0.098,0.092,0.093,562
,0.992,0.76,?????,?????,?????,?????,?????,-5.04,-13.77,-15.987,-20.745,-84.06,Corrected [562]
F,0.149,0.149,0.085,0.084,0.082,0.08,0.082,0.084,0.085,0.084,0.086,0.082,977 [Test]
,0.089,0.089,0.085,0.084,0.08,0.079,0.081,0.083,0.084,0.085,0.087,0.082,900 [Ref]
,0.333,0.335,-0.001,0.002,0.012,0.002,0.01,0.007,0.003,-0.003,-0.007,-0.004,Pathlength
,0.24,0.165,0.092,0.092,0.091,0.091,0.091,0.093,0.094,0.091,0.091,0.091,562
,0.722,0.492,-82.89,41.535,7.445,40.995,9.12,12.863,33.984,-32.688,-12.558,-20.43,Corrected [562]
G,0.261,0.15,0.104,0.107,0.103,0.106,0.12,0.109,0.105,0.112,0.105,0.103,977 [Test]
,0.25,0.091,0.085,0.086,0.082,0.086,0.104,0.081,0.084,0.093,0.086,0.082,900 [Ref]
,0.061,0.327,0.104,0.118,0.118,0.109,0.088,0.152,0.122,0.103,0.107,0.116,Pathlength
,0.317,0.122,1.22,1.236,1.244,1.196,1.222,1.244,1,1.145,0.904,0.876,562
,5.186,0.373,11.684,10.446,10.516,10.983,13.923,8.2,8.223,11.079,8.431,7.58,Corrected [562]
H,0.489,0.244,0.112,0.115,0.106,0.102,0.105,0.087,0.081,0.09,0.099,0.082,977 [Test]
,0.39,0.243,0.088,0.093,0.083,0.081,0.083,0.089,0.081,0.091,0.101,0.081,900 [Ref]
,0.547,0.005,0.129,0.122,0.124,0.116,0.119,-0.012,0,-0.007,-0.01,0.005,Pathlength
,0.395,0.23,1.726,1.75,1.7,1.747,1.698,0.097,0.09,0.096,0.108,0.089,562
,0.721,45.92,13.391,14.386,13.659,15.047,14.278,-8.28,?????,-14.4,-10.76,17.8,Corrected [562]
